2015-03-12 00:31:07.074 INFO  [main] : SAPControl
2015-03-12 11:14:41 [Execute SAP Control] INFO    - 

2015-03-12 11:14:41 [Execute SAP Control] INFO    - 12.03.2015 11:14:41

2015-03-12 11:14:41 [Execute SAP Control] INFO    - GetProcessList

2015-03-12 11:14:41 [Execute SAP Control] INFO    - FAIL: NIECONN_REFUSED (WSAECONNREFUSED: Connection refused), NiRawConnect failed in plugin_fopen()

2015-03-12 11:15:05 [Execute SAP Control] ERROR   - java.lang.RuntimeException

2015-03-12 11:41:17 [main] INFO    - SAPControl

2015-03-12 11:41:17 [Execute SAP Control] INFO    - 

2015-03-12 11:41:17 [Execute SAP Control] INFO    - 12.03.2015 11:41:17

2015-03-12 11:41:17 [Execute SAP Control] INFO    - GetProcessList

2015-03-12 11:41:17 [Execute SAP Control] INFO    - OK

2015-03-12 11:41:17 [Execute SAP Control] INFO    - name, description, dispstatus, textstatus, starttime, elapsedtime, pid

2015-03-12 11:41:17 [Execute SAP Control] INFO    - disp+work, Dispatcher, GRAY, Stopped, , , 508385

2015-03-12 11:41:17 [Execute SAP Control] INFO    - igswd_mt, IGS Watchdog, GRAY, Stopped, , , 508386

2015-03-12 11:41:17 [Execute SAP Control] INFO    -   EXITCODE: 4 GetProcessList succeeded, all processes stopped

2015-03-12 11:41:17 [main] INFO    - ApplyKernel

2015-03-12 11:41:17 [Execute Apply Kernel] INFO    - Executig command

2015-03-12 11:41:21 [Execute Apply Kernel] ERROR   - Unable to open connection:

2015-03-12 11:41:21 [Execute Apply Kernel] ERROR   - Host does not exist

2015-03-12 11:41:21 [Execute Apply Kernel] ERROR   - java.lang.RuntimeException: Last webmethod call failed, invalid parameter. EXITCODE: 1

2015-03-12 11:43:33 [main] INFO    - SAPControl

2015-03-12 11:43:33 [Execute SAP Control] INFO    - 

2015-03-12 11:43:33 [Execute SAP Control] INFO    - 12.03.2015 11:43:33

2015-03-12 11:43:33 [Execute SAP Control] INFO    - GetProcessList

2015-03-12 11:43:33 [Execute SAP Control] INFO    - OK

2015-03-12 11:43:33 [Execute SAP Control] INFO    - name, description, dispstatus, textstatus, starttime, elapsedtime, pid

2015-03-12 11:43:33 [Execute SAP Control] INFO    - disp+work, Dispatcher, GRAY, Stopped, , , 508385

2015-03-12 11:43:33 [Execute SAP Control] INFO    - igswd_mt, IGS Watchdog, GRAY, Stopped, , , 508386

2015-03-12 11:43:33 [Execute SAP Control] INFO    -   EXITCODE: 4 GetProcessList succeeded, all processes stopped

2015-03-12 11:43:33 [main] INFO    - ApplyKernel

2015-03-12 11:43:33 [Execute Apply Kernel] INFO    - Executig command

2015-03-12 11:43:35 [Execute Apply Kernel] ERROR   - Unable to open connection:

2015-03-12 11:43:35 [Execute Apply Kernel] ERROR   - Host does not exist

2015-03-12 11:43:35 [Execute Apply Kernel] ERROR   - java.lang.RuntimeException: Last webmethod call failed, invalid parameter. EXITCODE: 1

2015-03-12 12:00:50 [main] INFO    - SAPControl

2015-03-12 12:00:50 [Execute SAP Control] INFO    - 

2015-03-12 12:00:50 [Execute SAP Control] INFO    - 12.03.2015 12:00:50

2015-03-12 12:00:50 [Execute SAP Control] INFO    - GetProcessList

2015-03-12 12:00:50 [Execute SAP Control] INFO    - OK

2015-03-12 12:00:50 [Execute SAP Control] INFO    - name, description, dispstatus, textstatus, starttime, elapsedtime, pid

2015-03-12 12:00:50 [Execute SAP Control] INFO    - disp+work, Dispatcher, GRAY, Stopped, , , 508385

2015-03-12 12:00:50 [Execute SAP Control] INFO    - igswd_mt, IGS Watchdog, GRAY, Stopped, , , 508386

2015-03-12 12:00:50 [Execute SAP Control] INFO    -   EXITCODE: 4 GetProcessList succeeded, all processes stopped

2015-03-12 12:00:50 [main] INFO    - ApplyKernel

2015-03-12 12:00:50 [Execute Apply Kernel] INFO    - Executig COMMAND

2015-03-12 12:00:53 [Execute Apply Kernel] ERROR   - Unable to open connection:

2015-03-12 12:00:53 [Execute Apply Kernel] ERROR   - Host does not exist

2015-03-12 12:00:53 [Execute Apply Kernel] ERROR   - java.lang.RuntimeException: Last webmethod call failed, invalid parameter. EXITCODE: 1

